"sensor_serial_number","timestamp","value","measurement_unit"
"191","2011-03-05 08:48:38","2.36","mg/Dl"
"435","2013-07-22 14:00:12","61.23","mg/Dl"
"873","2008-01-18 22:29:47","848.46","mg/Dl"
"94","2016-01-13 15:59:51","135.88","mg/Dl"
"119","2016-12-21 17:11:22","957.45","kPa"
"398","2016-10-17 05:08:54","65.52","kPa"
"567","2009-09-30 14:48:10","780.62","kPa"
"690","2016-07-25 08:36:27","602.84","kPa"
"423","2008-09-19 16:30:10","465.89","mg/Dl"
"991","2006-09-03 16:23:28","225.12","kPa"
"128","2008-10-02 15:38:27","568.04","kPa"
"551","2013-07-25 00:33:06","329.84","kPa"
"142","2014-06-20 07:52:50","151.00","kPa"
"341","2007-11-18 07:32:09","427.38","mg/Dl"
"202","2006-08-07 04:05:59","72.91","kPa"
"419","2014-03-23 01:34:33","758.34","kPa"
"675","2017-02-18 20:29:05","661.10","kPa"
"452","2017-12-06 19:50:33","170.28","kPa"
"473","2006-12-23 05:15:30","49.27","mg/Dl"
"480","2010-10-17 13:10:14","997.69","kPa"
"860","2014-05-08 19:19:54","732.26","mg/Dl"
"835","2017-02-04 12:39:05","174.73","kPa"
"218","2012-10-20 10:19:20","788.99","kPa"
"745","2009-12-22 00:14:15","901.67","mg/Dl"
"510","2017-01-25 15:57:52","205.64","mg/Dl"
"999","2013-11-21 11:56:04","113.49","kPa"
"561","2009-04-14 01:17:40","600.96","kPa"
"254","2010-01-22 13:10:22","448.93","kPa"
"273","2006-10-06 09:09:38","792.88","mg/Dl"
"520","2009-08-09 19:16:55","775.67","mg/Dl"
"972","2010-09-04 20:34:01","259.01","kPa"
"185","2016-01-01 03:37:19","936.19","mg/Dl"
"265","2010-06-10 16:15:53","919.01","mg/Dl"
"473","2017-05-29 20:56:46","779.89","mg/Dl"
"31","2016-04-17 14:18:39","418.54","kPa"
"851","2011-06-13 21:41:06","740.25","kPa"
"835","2012-09-06 19:57:12","414.66","mg/Dl"
"101","2009-06-15 10:20:03","899.10","kPa"
"729","2012-11-28 19:01:09","272.26","mg/Dl"
"911","2007-02-24 11:04:07","308.15","mg/Dl"
"369","2011-03-21 03:19:19","178.26","mg/Dl"
"908","2007-04-17 03:11:46","166.80","mg/Dl"
"645","2010-10-21 10:56:56","392.23","kPa"
"176","2005-02-06 06:59:43","594.31","kPa"
"374","2015-04-22 08:36:33","183.50","kPa"
"571","2013-05-18 12:09:18","196.68","kPa"
"877","2009-07-05 16:17:19","788.35","kPa"
"101","2015-09-04 16:33:50","379.50","kPa"
"109","2010-07-01 07:29:36","368.61","mg/Dl"
"940","2015-04-06 06:53:57","567.28","mg/Dl"
"914","2016-02-02 07:42:03","702.75","kPa"
"70","2008-01-20 00:18:27","778.27","mg/Dl"
"299","2013-01-27 15:24:35","11.38","mg/Dl"
"835","2007-09-07 16:39:18","697.74","kPa"
"176","2014-03-03 12:08:27","555.02","mg/Dl"
"401","2015-02-03 14:25:12","770.16","kPa"
"862","2017-09-21 06:28:11","167.47","mg/Dl"
"591","2005-07-31 02:25:19","372.70","mg/Dl"
"932","2009-12-01 01:42:20","755.08","mg/Dl"
"911","2010-04-23 21:16:56","774.13","mg/Dl"
"999","2010-03-13 03:29:39","629.43","kPa"
"822","2010-02-27 17:27:08","961.92","mg/Dl"
"863","2013-11-27 09:00:00","808.18","mg/Dl"
"862","2017-06-29 05:32:19","126.97","mg/Dl"
"427","2011-04-27 09:38:49","649.99","mg/Dl"
"572","2011-06-13 05:21:57","423.99","kPa"
"541","2015-12-18 11:16:08","251.32","mg/Dl"
"640","2007-11-21 15:16:52","822.98","kPa"
"310","2009-09-02 01:32:51","365.54","kPa"
"157","2017-11-09 13:29:47","383.96","kPa"
"626","2017-05-01 18:06:38","480.19","mg/Dl"
"904","2017-04-25 11:39:25","26.16","kPa"
"625","2013-08-05 01:49:14","454.48","mg/Dl"
"58","2012-04-11 07:50:06","931.05","kPa"
"124","2006-04-13 11:02:35","453.25","mg/Dl"
"668","2005-05-20 05:04:50","675.00","kPa"
"372","2011-09-30 15:53:50","69.72","mg/Dl"
"972","2010-04-01 20:47:10","295.11","kPa"
"249","2006-03-21 09:00:51","591.91","mg/Dl"
"116","2013-03-10 01:34:40","966.49","mg/Dl"
"398","2013-04-04 08:20:50","496.08","kPa"
"835","2015-03-06 08:49:59","229.90","kPa"
"490","2013-02-18 10:17:26","935.43","kPa"
"142","2006-10-08 10:30:42","627.47","kPa"
"635","2011-02-21 03:16:07","300.52","mg/Dl"
"214","2005-04-15 20:22:41","755.86","kPa"
"635","2013-07-22 20:17:16","754.57","kPa"
"555","2009-03-16 01:38:40","660.08","kPa"
"740","2012-03-04 02:37:40","966.74","mg/Dl"
"604","2012-05-06 10:30:05","897.07","mg/Dl"
"180","2013-05-02 21:34:11","379.66","kPa"
"440","2012-04-01 09:14:47","682.65","mg/Dl"
"388","2017-07-19 07:25:55","135.78","mg/Dl"
"472","2006-01-19 18:11:28","184.35","mg/Dl"
"451","2012-11-06 23:58:08","956.98","mg/Dl"
"557","2005-10-29 20:26:41","77.89","kPa"
"860","2015-09-16 21:41:07","610.04","mg/Dl"
"405","2005-03-08 23:52:42","990.67","mg/Dl"
"429","2008-09-22 05:39:23","211.45","mg/Dl"
"39","2005-06-03 05:52:32","907.69","mg/Dl"
"872","2012-04-21 06:44:41","220.97","kPa"
"791","2005-07-01 14:53:45","215.09","kPa"
"503","2014-06-11 15:00:22","64.06","mg/Dl"
"213","2013-07-22 05:53:28","956.95","kPa"
"216","2014-04-01 14:19:42","508.89","kPa"
"972","2008-02-14 05:06:00","437.91","mg/Dl"
"375","2015-06-16 10:38:39","129.52","kPa"
"471","2012-01-01 01:56:35","328.42","mg/Dl"
"824","2014-10-20 03:39:18","918.46","mg/Dl"
"502","2014-09-12 10:46:01","432.53","mg/Dl"
"202","2013-03-21 05:39:33","702.33","mg/Dl"
"488","2013-01-17 15:29:28","726.40","kPa"
"474","2009-06-25 17:13:42","874.63","kPa"
"802","2017-06-15 11:05:58","838.31","mg/Dl"
"747","2011-01-14 03:49:39","828.81","mg/Dl"
"469","2012-09-09 23:31:07","939.32","mg/Dl"
"159","2011-02-16 09:36:12","670.88","kPa"
"507","2005-10-08 23:31:44","873.92","kPa"
"484","2008-03-14 23:50:38","458.28","kPa"
"426","2017-11-28 20:46:17","59.25","kPa"
"307","2011-11-16 07:09:52","575.60","kPa"
"408","2012-08-22 18:41:20","202.37","kPa"
"412","2013-09-19 12:37:49","468.05","mg/Dl"
"254","2011-04-05 00:00:29","661.42","kPa"
"331","2015-06-17 15:32:06","942.04","mg/Dl"
"990","2006-06-26 15:35:04","446.10","mg/Dl"
"970","2009-04-24 12:15:17","565.26","kPa"
"439","2011-01-01 14:10:32","507.01","kPa"
"426","2012-11-01 15:53:14","393.61","kPa"
"455","2014-07-22 16:53:18","395.11","kPa"
"153","2006-11-28 03:38:53","682.48","mg/Dl"
"845","2006-03-10 02:51:21","330.36","mg/Dl"
"958","2016-06-29 02:32:06","348.52","mg/Dl"
"639","2016-05-11 16:21:04","650.66","kPa"
"246","2007-12-24 21:19:33","504.78","mg/Dl"
"684","2017-01-20 07:53:02","924.15","kPa"
"52","2011-12-29 04:37:00","246.51","kPa"
"619","2015-05-01 02:29:36","304.01","mg/Dl"
"790","2008-07-10 01:12:38","192.64","mg/Dl"
"604","2010-10-11 14:59:53","46.56","mg/Dl"
"890","2008-03-12 17:38:41","845.28","mg/Dl"
"580","2010-05-05 19:30:09","262.07","mg/Dl"
"195","2006-10-03 14:19:23","197.95","kPa"
"518","2007-07-16 13:43:58","639.49","kPa"
"176","2009-09-15 14:25:28","865.20","kPa"
"314","2014-01-07 18:03:34","0.91","kPa"
"154","2011-11-03 07:28:40","309.92","mg/Dl"
"894","2005-01-31 09:59:14","469.53","kPa"
"457","2013-09-22 15:35:40","78.60","mg/Dl"
"749","2014-01-11 07:48:26","853.26","mg/Dl"
"639","2017-03-23 21:29:40","712.82","mg/Dl"
"906","2013-12-01 03:17:35","581.44","mg/Dl"
"929","2005-12-12 15:11:57","663.23","kPa"
"490","2012-09-30 18:56:00","417.46","kPa"
"886","2015-04-07 07:30:28","889.65","mg/Dl"
"294","2008-10-26 07:38:06","888.37","kPa"
"257","2008-12-24 08:03:25","269.54","mg/Dl"
"480","2016-06-12 01:03:57","313.25","kPa"
"820","2005-11-18 06:22:09","663.47","kPa"
"96","2005-12-23 20:58:34","814.27","kPa"
"58","2008-06-15 02:21:15","787.54","mg/Dl"
"970","2013-01-11 12:59:11","303.50","kPa"
"494","2014-08-19 01:52:45","532.62","kPa"
"863","2010-04-25 01:04:37","150.47","mg/Dl"
"823","2009-01-11 13:01:01","241.35","kPa"
"749","2010-06-15 11:47:50","751.26","kPa"
"92","2016-03-29 11:53:49","726.58","mg/Dl"
"785","2006-11-03 22:39:21","192.28","kPa"
"546","2006-10-17 07:31:47","588.27","kPa"
"509","2008-09-16 05:53:51","488.06","kPa"
"646","2008-10-14 18:05:55","85.66","kPa"
"610","2012-03-31 14:34:13","780.51","kPa"
"518","2013-01-15 04:11:52","453.90","mg/Dl"
"293","2014-04-22 23:21:44","431.90","kPa"
"154","2017-12-03 04:34:59","951.26","kPa"
"443","2014-01-15 15:09:36","89.07","mg/Dl"
"982","2007-10-31 17:17:14","996.22","mg/Dl"
"299","2016-10-15 01:22:34","712.43","mg/Dl"
"626","2013-02-19 13:51:42","742.14","kPa"
"49","2005-04-05 02:22:12","871.65","kPa"
"905","2010-03-01 17:25:56","158.66","kPa"
"398","2009-12-01 13:46:20","636.00","kPa"
"159","2009-01-31 23:35:03","787.98","kPa"
"955","2013-12-24 13:39:07","408.76","mg/Dl"
"478","2013-12-18 23:43:26","546.08","mg/Dl"
"299","2013-10-09 05:50:00","554.78","mg/Dl"
"857","2017-04-17 03:37:57","293.25","kPa"
"805","2014-11-17 08:02:10","581.14","kPa"
"784","2013-03-23 08:54:43","37.28","mg/Dl"
"550","2015-06-24 15:38:03","591.52","kPa"
"352","2006-09-21 01:45:22","12.26","mg/Dl"
"140","2017-04-20 12:22:52","336.34","mg/Dl"
"480","2015-08-23 05:55:06","33.78","mg/Dl"
